,Open,High,Low,Close,Volume,Forcast,Forcast_Direction,Real_Direction,Result,diff_right,diff_wrong
2024-01-17,72.0,72.94999694824219,70.5,72.55999755859375,315679.0,72.63518524169922,null,null,null,0.0,0.0
2024-01-18,72.77999877929688,74.37999725341797,72.18000030517578,74.08000183105469,86646.0,74.87488555908203,Up,Down,0,0.0,0.6699981689453125
2024-01-19,74.08000183105469,74.91000366210938,73.19999694824219,73.41000366210938,78234.0,74.43030548095703,Down,Up,0,0.0,1.779998779296875
2024-01-22,73.41000366210938,75.75,72.88999938964844,75.19000244140625,372284.0,75.99776458740234,Up,Down,0,0.0,0.8199996948242188
2024-01-23,74.68000030517578,75.25,73.41000366210938,74.37000274658203,306060.0,74.93355560302734,Down,Up,0,0.0,0.7199935913085938
2024-01-24,74.56999969482422,75.83000183105469,73.94000244140625,75.08999633789062,323726.0,75.73495483398438,Up,Up,1,2.2700042724609375,0.0
2024-01-25,75.30000305175781,77.51000213623047,75.16000366210938,77.36000061035156,320177.0,78.10633850097656,Up,Up,1,0.6500015258789062,0.0
2024-01-26,77.1500015258789,78.26000213623047,76.05999755859375,78.01000213623047,365456.0,77.99734497070312,Down,Down,1,1.2300033569335938,0.0
2024-01-29,78.9000015258789,79.29000091552734,76.41000366210938,76.77999877929688,331925.0,78.35295104980469,Up,Up,1,1.0400009155273438,0.0
2024-01-30,77.0199966430664,78.13999938964844,75.8499984741211,77.81999969482422,347242.0,77.70368194580078,Down,Down,1,1.970001220703125,0.0
2024-01-31,77.83999633789062,78.11000061035156,75.5199966430664,75.8499984741211,344493.0,76.76207733154297,Down,Down,1,2.029998779296875,0.0
2024-02-01,75.95999908447266,76.94999694824219,73.69999694824219,73.81999969482422,577936.0,74.85210418701172,Down,Down,1,1.5400009155273438,0.0
2024-02-02,73.91000366210938,74.5199966430664,71.79000091552734,72.27999877929688,577936.0,72.61815643310547,Down,Up,0,0.0,0.5
2024-02-05 00:00:00,72.75,73.27999877929688,71.41000366210938,72.77999877929688,317079.0,73.40833282470703,Up,Up,1,0.6800003051757812,0.0
2024-02-06 00:00:00,73.5,73.5199966430664,73.38999938964844,73.45999908447266,543.0,73.97500610351562,Up,Up,1,0.5,0.0
2024-02-07 00:00:00,74.08000183105469,74.12000274658203,73.86000061035156,73.95999908447266,5526.0,74.35042572021484,Up,Up,1,2.5,0.0
2024-02-08 00:00:00,74.08000183105469,76.58999633789062,73.55999755859375,76.45999908447266,337172.0,76.79137420654297,Up,Up,1,0.1399993896484375,0.0
2024-02-09 00:00:00,76.41999816894531,77.29000091552734,75.93000030517578,76.5999984741211,270691.0,77.18173217773438,Up,Up,1,0.37000274658203125,0.0
2024-02-12 00:00:00,77.02999877929688,77.11000061035156,76.95999908447266,76.97000122070312,424.0,77.88693237304688,Up,Up,1,0.7999954223632812,0.0
2024-02-13 00:00:00,77.02999877929688,78.47000122070312,76.87000274658203,77.7699966430664,293778.0,78.20525360107422,null,null,null,0.0,0.0
